0 , 7N , 4 , 4 , 4 , 4
1 , 7N , 3 , 3 , 3 , 3
2 , 7N , 2 , 2 , 2 , 2
3 , 7N , 1 , 1 , 1 , 1
4 , 7N , 4 , 4 , 4 , 4
5 , 7N , 3 , 3 , 3 , 3
6 , 7N , 2 , 2 , 2 , 2
7 , 7N , 1 , 1 , 1 , 1
8 , 7N , 4 , 4 , 4 , 4
9 , 7N , 3 , 3 , 3 , 3
10 , 7N , 2 , 2 , 2 , 2
11 , 7N , 1 , 1 , 1 , 1
12 , 7N , 4 , 4 , 4 , 4
13 , 7N , 3 , 3 , 3 , 3
14 , 7N , 2 , 2 , 2 , 2
15 , 7N , 1 , 1 , 1 , 1
16 , 7N , 4 , 4 , 4 , 4
17 , 7N , 3 , 3 , 3 , 3
18 , 7N , 2 , 2 , 2 , 2
19 , 7N , 1 , 1 , 1 , 1
20 , 7N , 4 , 4 , 4 , 4
21 , 7N , 3 , 3 , 3 , 3
22 , 7N , 2 , 2 , 2 , 2
23 , 7N , 1 , 1 , 1 , 1
24 , 7N , 4 , 4 , 4 , 4
25 , 7N , 3 , 3 , 3 , 3
26 , 7N , 2 , 2 , 2 , 2
27 , 7N , 1 , 1 , 1 , 1
28 , 7N , 4 , 4 , 4 , 4
29 , 7N , 3 , 3 , 3 , 3
30 , 7N , 2 , 2 , 2 , 2
31 , 7N , 1 , 1 , 1 , 1
32 , 7N , 4 , 4 , 4 , 4
33 , 7N , 3 , 3 , 3 , 3
34 , 7N , 2 , 2 , 2 , 2
35 , 7N , 1 , 1 , 1 , 1
36 , 7N , 4 , 4 , 4 , 4
37 , 7N , 3 , 3 , 3 , 3
38 , 7N , 2 , 2 , 2 , 2
39 , 7N , 1 , 1 , 1 , 1
40 , 7N , 4 , 4 , 4 , 4
41 , 7N , 3 , 3 , 3 , 3
42 , 7N , 2 , 2 , 2 , 2
43 , 7N , 1 , 1 , 1 , 1
44 , 7N , 4 , 4 , 4 , 4
45 , 7N , 3 , 3 , 3 , 3
46 , 7N , 2 , 2 , 2 , 2
47 , 7N , 1 , 1 , 1 , 1
48 , 7N , 4 , 4 , 4 , 4
49 , 7N , 3 , 3 , 3 , 3
50 , 7N , 2 , 2 , 2 , 2
51 , 7N , 1 , 1 , 1 , 1
52 , 7N , 4 , 4 , 4 , 4
53 , 7N , 3 , 3 , 3 , 3
54 , 7N , 2 , 2 , 2 , 2
55 , 7N , 1 , 1 , 1 , 1
56 , 7N , 4 , 4 , 4 , 4
57 , 7N , 3 , 3 , 3 , 3
58 , 7N , 2 , 2 , 2 , 2
59 , 7N , 1 , 1 , 1 , 1
60 , 7N , 4 , 4 , 4 , 4
61 , 7N , 3 , 3 , 3 , 3
62 , 7N , 2 , 2 , 2 , 2
63 , 7N , 1 , 1 , 1 , 1
64 , 7N , 4 , 4 , 4 , 4
65 , 7N , 3 , 3 , 3 , 3
66 , 7N , 2 , 2 , 2 , 2
67 , 7N , 1 , 1 , 1 , 1
68 , 7N , 4 , 4 , 4 , 4
69 , 7N , 3 , 3 , 3 , 3
70 , 7N , 2 , 2 , 2 , 2
71 , 7N , 1 , 1 , 1 , 1
72 , 7N , 4 , 4 , 4 , 4
73 , 7N , 3 , 3 , 3 , 3
74 , 7N , 2 , 2 , 2 , 2
75 , 7N , 1 , 1 , 1 , 1
76 , 7N , 4 , 4 , 4 , 4
77 , 7N , 3 , 3 , 3 , 3
78 , 7N , 2 , 2 , 2 , 2
79 , 7N , 1 , 1 , 1 , 1
80 , 7N , 4 , 4 , 4 , 4
81 , 7N , 3 , 3 , 3 , 3
82 , 7N , 2 , 2 , 2 , 2
83 , 7N , 1 , 1 , 1 , 1
84 , 7N , 4 , 4 , 4 , 4
85 , 7N , 3 , 3 , 3 , 3
86 , 7N , 2 , 2 , 2 , 2
87 , 7N , 1 , 1 , 1 , 1
88 , 7N , 4 , 4 , 4 , 4
89 , 7N , 3 , 3 , 3 , 3
90 , 7N , 2 , 2 , 2 , 2
91 , 7N , 1 , 1 , 1 , 1
92 , 7N , 4 , 4 , 4 , 4
93 , 7N , 3 , 3 , 3 , 3
94 , 7N , 2 , 2 , 2 , 2
95 , 7N , 1 , 1 , 1 , 1
96 , 7N , 4 , 4 , 4 , 4
97 , 7N , 3 , 3 , 3 , 3
98 , 7N , 2 , 2 , 2 , 2
99 , 7N , 1 , 1 , 1 , 1
100 , 7N , 4 , 4 , 4 , 4
101 , 7N , 3 , 3 , 3 , 3
102 , 7N , 2 , 2 , 2 , 2
103 , 7N , 1 , 1 , 1 , 1
104 , 7N , 4 , 4 , 4 , 4
105 , 7N , 3 , 3 , 3 , 3
106 , 7N , 2 , 2 , 2 , 2
107 , 7N , 1 , 1 , 1 , 1
108 , 7N , 4 , 4 , 4 , 4
109 , 7N , 3 , 3 , 3 , 3
110 , 7N , 2 , 2 , 2 , 2
111 , 7N , 1 , 1 , 1 , 1
112 , 7N , 4 , 4 , 4 , 4
113 , 7N , 3 , 3 , 3 , 3
114 , 7N , 2 , 2 , 2 , 2
115 , 7N , 1 , 1 , 1 , 1
116 , 7N , 4 , 4 , 4 , 4
117 , 7N , 3 , 3 , 3 , 3
118 , 7N , 2 , 2 , 2 , 2
119 , 7N , 1 , 1 , 1 , 1
120 , 7S , 4 , 4 , 4 , 4
121 , 7S , 3 , 3 , 3 , 3
122 , 7S , 2 , 2 , 2 , 2
123 , 7S , 1 , 1 , 1 , 1
124 , 7S , 4 , 4 , 4 , 4
125 , 7S , 3 , 3 , 3 , 3
126 , 7S , 2 , 2 , 2 , 2
127 , 7S , 1 , 1 , 1 , 1
128 , 7S , 4 , 4 , 4 , 4
129 , 7S , 3 , 3 , 3 , 3
130 , 7S , 2 , 2 , 2 , 2
131 , 7S , 1 , 1 , 1 , 1
132 , 7S , 4 , 4 , 4 , 4
133 , 7S , 3 , 3 , 3 , 3
134 , 7S , 2 , 2 , 2 , 2
135 , 7S , 1 , 1 , 1 , 1
136 , 7S , 4 , 4 , 4 , 4
137 , 7S , 3 , 3 , 3 , 3
138 , 7S , 2 , 2 , 2 , 2
139 , 7S , 1 , 1 , 1 , 1
140 , 7S , 4 , 4 , 4 , 4
141 , 7S , 3 , 3 , 3 , 3
142 , 7S , 2 , 2 , 2 , 2
143 , 7S , 1 , 1 , 1 , 1
144 , 7S , 4 , 4 , 4 , 4
145 , 7S , 3 , 3 , 3 , 3
146 , 7S , 2 , 2 , 2 , 2
147 , 7S , 1 , 1 , 1 , 1
148 , 7S , 4 , 4 , 4 , 4
149 , 7S , 3 , 3 , 3 , 3
150 , 7S , 2 , 2 , 2 , 2
151 , 7S , 1 , 1 , 1 , 1
152 , 7S , 4 , 4 , 4 , 4
153 , 7S , 3 , 3 , 3 , 3
154 , 7S , 2 , 2 , 2 , 2
155 , 7S , 1 , 1 , 1 , 1
156 , 7S , 4 , 4 , 4 , 4
157 , 7S , 3 , 3 , 3 , 3
158 , 7S , 2 , 2 , 2 , 2
159 , 7S , 1 , 1 , 1 , 1
160 , 7S , 4 , 4 , 4 , 4
161 , 7S , 3 , 3 , 3 , 3
162 , 7S , 2 , 2 , 2 , 2
163 , 7S , 1 , 1 , 1 , 1
164 , 7S , 4 , 4 , 4 , 4
165 , 7S , 3 , 3 , 3 , 3
166 , 7S , 2 , 2 , 2 , 2
167 , 7S , 1 , 1 , 1 , 1
168 , 7S , 4 , 4 , 4 , 4
169 , 7S , 3 , 3 , 3 , 3
170 , 7S , 2 , 2 , 2 , 2
171 , 7S , 1 , 1 , 1 , 1
172 , 7S , 4 , 4 , 4 , 4
173 , 7S , 3 , 3 , 3 , 3
174 , 7S , 2 , 2 , 2 , 2
175 , 7S , 1 , 1 , 1 , 1
176 , 7S , 4 , 4 , 4 , 4
177 , 7S , 3 , 3 , 3 , 3
178 , 7S , 2 , 2 , 2 , 2
179 , 7S , 1 , 1 , 1 , 1
180 , 7S , 4 , 4 , 4 , 4
181 , 7S , 3 , 3 , 3 , 3
182 , 7S , 2 , 2 , 2 , 2
183 , 7S , 1 , 1 , 1 , 1
184 , 7S , 4 , 4 , 4 , 4
185 , 7S , 3 , 3 , 3 , 3
186 , 7S , 2 , 2 , 2 , 2
187 , 7S , 1 , 1 , 1 , 1
188 , 7S , 4 , 4 , 4 , 4
189 , 7S , 3 , 3 , 3 , 3
190 , 7S , 2 , 2 , 2 , 2
191 , 7S , 1 , 1 , 1 , 1
192 , 7S , 4 , 4 , 4 , 4
